canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
O=S(=O)([O-])O[C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1208974,Ki,nM,1000.0,Ki,uM,1.0
O=S(=O)(O)O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1277062,Ki,nM,2300.0,Ki,uM,2.3
Cl.OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,CHEMBL1277063,Ki,nM,1400.0,Ki,uM,1.4
O=S(=O)(O)O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)CN1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1277152,Ki,nM,90000.0,Ki,uM,90.0
O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)C[Se+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1277153,Ki,nM,80.0,Ki,uM,0.08
Cl.OC[C@@H]1[C@@H](O)[C@H](O)CN1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,CHEMBL1277240,Ki,nM,60.0,Ki,uM,0.06
OC[C@@H]1[C@@H](O)[C@H](O)C[Se+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO.[Cl-],CHEMBL1277241,Ki,nM,20.0,Ki,uM,0.02
CO[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL1258644,Ki,nM,500.0,Ki,uM,0.5
CO[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL1258644,Ki,nM,500.0,Ki,uM,0.5
OC[C@@H]1[C@@H](O)[C@H](O)C[S@@+]1C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO.[Cl-],CHEMBL1258529,Ki,nM,43.0,Ki,uM,0.043
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,CHEMBL574645,IC50,nM,3000.0,IC50,uM,3.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC12CC3CC(CC(C3)C1)C2,CHEMBL1086996,IC50,nM,500000.0,IC50,uM,500.0
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1,CHEMBL3354025,IC50,nM,2000.0,IC50,uM,2.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1,CHEMBL3354038,IC50,nM,100000.0,IC50,uM,100.0
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccccc1-c1ccccc1,CHEMBL3354062,IC50,nM,1500.0,IC50,uM,1.5
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1cccc(-c2ccccc2)c1,CHEMBL3354063,IC50,nM,1500.0,IC50,uM,1.5
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CC(F)(F)CCCOCc1ccc(-c2ccccc2)cc1,CHEMBL3354620,IC50,nM,100000.0,IC50,uM,100.0
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC(F)(F)COCc1ccc(-c2ccccc2)cc1,CHEMBL3354621,IC50,nM,9000.0,IC50,uM,9.0
C[C@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccc(-c2ccccc2)cc1,CHEMBL3354622,IC50,nM,2500.0,IC50,uM,2.5
C[C@@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccc(-c2ccccc2)cc1,CHEMBL3354623,IC50,nM,4000.0,IC50,uM,4.0
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1F,CHEMBL3354624,IC50,nM,2500.0,IC50,uM,2.5
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)c(F)c1,CHEMBL3354625,IC50,nM,3000.0,IC50,uM,3.0
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1C(F)(F)F,CHEMBL3354626,IC50,nM,8000.0,IC50,uM,8.0
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)c(C(F)(F)F)c1,CHEMBL3354627,IC50,nM,7000.0,IC50,uM,7.0
